triage_id,conflict_bucket,original_conflict_type,proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,proposal_value,canonical_value,recommended_action,readiness_impact,triage_status,notes
conflict_00001,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,"LPO, Black Ground Effects. Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00002,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,"LPO, Black Ground Effects. Genuine Corvette Accessory","LPO, Black Ground Effects",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00003,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00004,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",LPO Jake logo wheel center caps,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00005,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00006,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",LPO Carbon Flash wheel center caps with crossed flags logo,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00007,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","Body-color, G8G, GBA, GKZ only. Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00008,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","LPO, High wing spoiler, Body color",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00009,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","Carbon Flash Metallic-painted, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00010,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, High wing spoiler",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00011,label_and_description_conflict,description_mismatch,prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents","Body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00012,label_and_description_conflict,label_mismatch,prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",Carbon Flash and body-color accents,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00013,label_and_description_conflict,description_mismatch,prop_stingray_exterior_r88,stingray,R88,opt_r88_001,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory","Front, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00014,label_and_description_conflict,label_mismatch,prop_stingray_exterior_r88,stingray,R88,opt_r88_001,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory","LPO, Illuminated crossed flags emblem",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00015,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rik,stingray,RIK,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00016,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rik,stingray,RIK,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Torch Red",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00017,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rin,stingray,RIN,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00018,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rin,stingray,RIN,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Arctic White",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00019,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rnx,stingray,RNX,opt_rnx_001,"LPO, Premium outdoor car cover, Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo","Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00020,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rnx,stingray,RNX,opt_rnx_001,"LPO, Premium outdoor car cover, Gray with Stingray logo and access panels, Genuine Corvette Accessory; features the Corvette silhouette within the Stingray logo","LPO, Premium outdoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00021,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rwh,stingray,RWH,opt_rwh_001,"LPO, Premium indoor car cover, Black with crossed flags logo, Genuine Corvette Accessory","Black with crossed flags logo, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00022,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rwh,stingray,RWH,opt_rwh_001,"LPO, Premium indoor car cover, Black with crossed flags logo, Genuine Corvette Accessory","LPO, Premium indoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00023,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rwj,stingray,RWJ,opt_rwj_001,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory","Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00024,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rwj,stingray,RWJ,opt_rwj_001,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory","LPO, Premium outdoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00025,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rxh,stingray,RXH,opt_rxh_001,"LPO, Silver wheel center caps with Stingray logo and Red outline, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00026,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rxh,stingray,RXH,opt_rxh_001,"LPO, Silver wheel center caps with Stingray logo and Red outline, Genuine Corvette Accessory",LPO Silver wheel center caps with Stingray logo and Red outline,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00027,label_and_description_conflict,description_mismatch,prop_stingray_exterior_rxj,stingray,RXJ,opt_rxj_001,"LPO, Black wheel center caps with Gray Stingray logo, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00028,label_and_description_conflict,label_mismatch,prop_stingray_exterior_rxj,stingray,RXJ,opt_rxj_001,"LPO, Black wheel center caps with Gray Stingray logo, Genuine Corvette Accessory",LPO Black wheel center caps with Gray Stingray logo,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00029,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sb7,stingray,SB7,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00030,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sb7,stingray,SB7,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos, Genuine Corvette Accessory","LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00031,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sda,stingray,SDA,opt_sda_001,"LPO, Black recovery hook, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00032,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sda,stingray,SDA,opt_sda_001,"LPO, Black recovery hook, Genuine Corvette Accessory","LPO, Black recovery hook",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00033,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sfz,stingray,SFZ,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory","Front on Stingray models, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00034,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sfz,stingray,SFZ,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem, front on Stingray models, Genuine Corvette Accessory","LPO, Dark Stealth crossed flags emblem",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00035,label_and_description_conflict,description_mismatch,prop_stingray_exterior_shq,stingray,SHQ,opt_shq_001,"LPO, Fender hash stripes, Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory","Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00036,label_and_description_conflict,label_mismatch,prop_stingray_exterior_shq,stingray,SHQ,opt_shq_001,"LPO, Fender hash stripes, Silver with Carbon Flash Metallic accent, Genuine Corvette Accessory","LPO, Fender hash stripes",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00037,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sht,stingray,SHT,opt_sht_001,"LPO, Jake hood graphic with Tech Bronze accent, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00038,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sht,stingray,SHT,opt_sht_001,"LPO, Jake hood graphic with Tech Bronze accent, Genuine Corvette Accessory","LPO, Jake hood graphic with Tech Bronze accent",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00039,label_and_description_conflict,description_mismatch,prop_stingray_exterior_shw,stingray,SHW,opt_shw_001,"LPO, Fender hash stripes, Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory","Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00040,label_and_description_conflict,label_mismatch,prop_stingray_exterior_shw,stingray,SHW,opt_shw_001,"LPO, Fender hash stripes, Carbon Flash Metallic with Edge Red accent, Genuine Corvette Accessory","LPO, Fender hash stripes",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00041,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sl1,stingray,SL1,opt_sl1_001,"LPO, Premium indoor car cover, Red with Stingray logo, Genuine Corvette Accessory","Red with Stingray logo, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00042,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sl1,stingray,SL1,opt_sl1_001,"LPO, Premium indoor car cover, Red with Stingray logo, Genuine Corvette Accessory","LPO, Premium indoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00043,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sl8,stingray,SL8,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00044,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sl8,stingray,SL8,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red, Genuine Corvette Accessory","LPO, Rear Corvette script badge in Edge Red",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00045,label_and_description_conflict,description_mismatch,prop_stingray_exterior_sng,stingray,SNG,opt_sng_001,"LPO, Fender hash stripes, Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory","Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00046,label_and_description_conflict,label_mismatch,prop_stingray_exterior_sng,stingray,SNG,opt_sng_001,"LPO, Fender hash stripes, Carbon Flash Metallic with Tech Bronze accent, Genuine Corvette Accessory","LPO, Fender hash stripes",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00047,label_and_description_conflict,description_mismatch,prop_stingray_exterior_vtb,stingray,VTB,opt_vtb_001,"LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00048,label_and_description_conflict,label_mismatch,prop_stingray_exterior_vtb,stingray,VTB,opt_vtb_001,"LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo, Genuine Corvette Accessory","LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00049,label_and_description_conflict,description_mismatch,prop_stingray_exterior_vwd,stingray,VWD,opt_vwd_001,"LPO, Stingray R logo wheel center caps. Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00050,label_and_description_conflict,label_mismatch,prop_stingray_exterior_vwd,stingray,VWD,opt_vwd_001,"LPO, Stingray R logo wheel center caps. Genuine Corvette Accessory",LPO Stingray R logo wheel center caps,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00051,label_and_description_conflict,description_mismatch,prop_stingray_exterior_wkq,stingray,WKQ,opt_wkq_001,"LPO, Premium indoor car cover, Black with crossed flags logo and access panels, Genuine Corvette Accessory","Black with crossed flags logo and access panels, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00052,label_and_description_conflict,label_mismatch,prop_stingray_exterior_wkq,stingray,WKQ,opt_wkq_001,"LPO, Premium indoor car cover, Black with crossed flags logo and access panels, Genuine Corvette Accessory","LPO, Premium indoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00053,label_and_description_conflict,description_mismatch,prop_stingray_exterior_wkr,stingray,WKR,opt_wkr_001,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory","GT3.R, fully rendered, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00054,label_and_description_conflict,label_mismatch,prop_stingray_exterior_wkr,stingray,WKR,opt_wkr_001,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory","LPO, Premium indoor car cover",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00055,label_and_description_conflict,description_mismatch,prop_stingray_interior_rwu,stingray,RWU,opt_rwu_001,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory","Collapsible, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00056,label_and_description_conflict,label_mismatch,prop_stingray_interior_rwu,stingray,RWU,opt_rwu_001,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory","LPO, Cargo area organizer",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00057,label_and_description_conflict,description_mismatch,prop_stingray_interior_s2l,stingray,S2L,opt_s2l_001,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00058,label_and_description_conflict,label_mismatch,prop_stingray_interior_s2l,stingray,S2L,opt_s2l_001,"LPO, Set of premium leather weekend/travel bags, Genuine Corvette Accessory","LPO, Set of premium leather weekend/travel bags",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00059,label_and_description_conflict,description_mismatch,prop_stingray_interior_sxb,stingray,SXB,opt_sxb_001,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory","Black, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00060,label_and_description_conflict,label_mismatch,prop_stingray_interior_sxb,stingray,SXB,opt_sxb_001,"LPO, Suede frunk and trunk compartment liner, Black, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00061,label_and_description_conflict,description_mismatch,prop_stingray_interior_sxr,stingray,SXR,opt_sxr_001,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory","Adrenaline Red, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00062,label_and_description_conflict,label_mismatch,prop_stingray_interior_sxr,stingray,SXR,opt_sxr_001,"LPO, Suede frunk and trunk compartment liner, Adrenaline Red, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00063,label_and_description_conflict,description_mismatch,prop_stingray_interior_sxt,stingray,SXT,opt_sxt_001,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory","Natural, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00064,label_and_description_conflict,label_mismatch,prop_stingray_interior_sxt,stingray,SXT,opt_sxt_001,"LPO, Suede frunk and trunk compartment liner, Natural, Genuine Corvette Accessory",LPO Suede frunk and trunk compartment liner,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00065,label_and_description_conflict,description_mismatch,prop_stingray_interior_vyw,stingray,VYW,opt_vyw_001,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory","Premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00066,label_and_description_conflict,label_mismatch,prop_stingray_interior_vyw,stingray,VYW,opt_vyw_001,"LPO, Floor mats, premium carpeted with car silhouette logo on Stingray, Grand Sport, ZR1 and ZR1X models, Genuine Corvette Accessory","LPO, Floor mats",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00067,label_and_description_conflict,description_mismatch,prop_stingray_interior_w2d,stingray,W2D,opt_w2d_001,"LPO, Cargo net set, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00068,label_and_description_conflict,label_mismatch,prop_stingray_interior_w2d,stingray,W2D,opt_w2d_001,"LPO, Cargo net set, Genuine Corvette Accessory","LPO, Cargo net set",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00069,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_b6p,stingray,B6P,opt_b6p_001,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO","Includes carbon fiber trim, D3V engine lighting and SL9 engine specification plaque.",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00070,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_b6p,stingray,B6P,opt_b6p_001,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",Coupe Engine Appearance Package,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00071,label_only_conflict,label_mismatch,prop_stingray_mechanical_bc4,stingray,BC4,opt_bc4_001,"NEW!  LS6 engine cover, Blue",NEW! Blue LS6 engine cover,review_label_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00072,label_only_conflict,label_mismatch,prop_stingray_mechanical_bcp,stingray,BCP,opt_bcp_001,"LS6 engine cover, Edge Red",Edge Red LS6 engine cover,review_label_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00073,label_only_conflict,label_mismatch,prop_stingray_mechanical_bcs,stingray,BCS,opt_bcs_001,"LS6 engine cover, Sterling Silver-painted",Sterling Silver LS6 engine cover,review_label_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00074,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_sl9,stingray,SL9,opt_sl9_001,"LPO, Engine specification plaque, Genuine Corvette Accessory",LPO,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00075,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_sl9,stingray,SL9,opt_sl9_001,"LPO, Engine specification plaque, Genuine Corvette Accessory",Engine specification plaque,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00076,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_slk,stingray,SLK,opt_slk_001,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","Edge Red, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00077,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_slk,stingray,SLK,opt_slk_001,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","LPO, Rear hatch strut bracket",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00078,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_sln,stingray,SLN,opt_sln_001,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00079,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_sln,stingray,SLN,opt_sln_001,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory","LPO, Visible carbon fiber engine cross brace with Jake logo",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00080,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_vup,stingray,VUP,opt_vup_001,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00081,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_vup,stingray,VUP,opt_vup_001,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory","LPO, Engine Bay closeout graphics",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00082,label_and_description_conflict,description_mismatch,prop_stingray_mechanical_zz3,stingray,ZZ3,opt_zz3_001,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO","Includes window under tonneau cover, BC7 Black LS6 engine cover and SL9 engine specification plaque.",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00083,label_and_description_conflict,label_mismatch,prop_stingray_mechanical_zz3,stingray,ZZ3,opt_zz3_001,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO",Convertible Engine Appearance Package,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00084,label_and_description_conflict,description_mismatch,prop_stingray_standard_equipment_sl9,stingray,SL9,opt_sl9_001,"LPO, Engine specification plaque, Genuine Corvette Accessory",LPO,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00085,label_and_description_conflict,label_mismatch,prop_stingray_standard_equipment_sl9,stingray,SL9,opt_sl9_001,"LPO, Engine specification plaque, Genuine Corvette Accessory",Engine specification plaque,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
