proposal_selectable_id,model_key,orderable_rpo,candidate_canonical_selectable_id_preview,candidate_bucket,triage_status,source_ref_count,proposal_label,description,recommended_action,readiness_impact,notes
prop_stingray_interior_36s,stingray,36S,sel_stingray_36s,clean_new_candidate,candidate_for_future_apply_plan,6,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console","Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_379,stingray,379,sel_stingray_379,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Orange","Seat belt color, Orange",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_37s,stingray,37S,sel_stingray_37s,clean_new_candidate,candidate_for_future_apply_plan,6,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console","Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_38s,stingray,38S,sel_stingray_38s,clean_new_candidate,candidate_for_future_apply_plan,6,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console","Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3a9,stingray,3A9,sel_stingray_3a9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Santorini Blue","Seat belt color, Santorini Blue",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3f9,stingray,3F9,sel_stingray_3f9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Torch Red","Seat belt color, Torch Red",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3m9,stingray,3M9,sel_stingray_3m9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Yellow","Seat belt color, Yellow",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3n9,stingray,3N9,sel_stingray_3n9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Natural","Seat belt color, Natural",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5dg,stingray,5DG,sel_stingray_5dg,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5do,stingray,5DO,sel_stingray_5do,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5jr,stingray,5JR,sel_stingray_5jr,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5vm,stingray,5VM,sel_stingray_5vm,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, Visible Carbon Fiber Ground Effects, Genuine Corvette Accessory","LPO, Visible Carbon Fiber Ground Effects, Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5w8,stingray,5W8,sel_stingray_5w8,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, Carbon Fiber Ground Effects, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, Carbon Fiber Ground Effects, Carbon Flash Metallic-painted, Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5zw,stingray,5ZW,sel_stingray_5zw,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, Two-Stanchion spoiler, Visible Carbon Fiber, Genuine Corvette Accessory","LPO, Two-Stanchion spoiler, Visible Carbon Fiber, Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_ae4,stingray,AE4,sel_stingray_ae4,clean_new_candidate,candidate_for_future_apply_plan,6,"Seats, Competition Sport bucket","Seats, Competition Sport bucket",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_aup,stingray,AUP,sel_stingray_aup,clean_new_candidate,candidate_for_future_apply_plan,6,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket","Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_baz,stingray,BAZ,sel_stingray_baz,clean_new_candidate,candidate_for_future_apply_plan,6,"Stealth Interior Trim Package, dark finish aluminum trim","Stealth Interior Trim Package, dark finish aluminum trim",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_bv4,stingray,BV4,sel_stingray_bv4,clean_new_candidate,candidate_for_future_apply_plan,6,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN","Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_c2z,stingray,C2Z,sel_stingray_c2z_446af105,clean_new_candidate,candidate_for_future_apply_plan,6,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_standard_equipment_c2z,stingray,C2Z,sel_stingray_c2z_1c505f43,clean_new_candidate,candidate_for_future_apply_plan,6,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_cav,stingray,CAV,sel_stingray_cav,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory","LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_cc3,stingray,CC3,sel_stingray_cc3,clean_new_candidate,candidate_for_future_apply_plan,6,"Roof panel, transparent, removable","Roof panel, transparent, removable",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_cf8,stingray,CF8,sel_stingray_cf8,clean_new_candidate,candidate_for_future_apply_plan,6,"Roof panel, electrochromic dimming, removable","Roof panel, electrochromic dimming, removable",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_d30,stingray,D30,sel_stingray_d30,clean_new_candidate,candidate_for_future_apply_plan,6,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations","Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_d84,stingray,D84,sel_stingray_d84,clean_new_candidate,candidate_for_future_apply_plan,6,"Convertible top, Carbon Flash-painted nacelles and roof","Convertible top, Carbon Flash-painted nacelles and roof",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_d86,stingray,D86,sel_stingray_d86,clean_new_candidate,candidate_for_future_apply_plan,6,"Convertible top, Carbon Flash-painted nacelles and body-color roof","Convertible top, Carbon Flash-painted nacelles and body-color roof",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dpb,stingray,DPB,sel_stingray_dpb,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Carbon Flash with Blue accent Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dpc,stingray,DPC,sel_stingray_dpc,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dpg,stingray,DPG,sel_stingray_dpg,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Carbon Flash with Orange accent Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dpl,stingray,DPL,sel_stingray_dpl,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash with Red accent Full Length Dual Racing Stripes,Carbon Flash with Red accent Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dpt,stingray,DPT,sel_stingray_dpt,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Carbon Flash with Silver accent Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dsy,stingray,DSY,sel_stingray_dsy,clean_new_candidate,candidate_for_future_apply_plan,6,Edge Orange Full Length Dual Racing Stripes,Edge Orange Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dsz,stingray,DSZ,sel_stingray_dsz,clean_new_candidate,candidate_for_future_apply_plan,6,Edge Red Full Length Dual Racing Stripes,Edge Red Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dt0,stingray,DT0,sel_stingray_dt0,clean_new_candidate,candidate_for_future_apply_plan,6,Competition Yellow Full Length Dual Racing Stripes,Competition Yellow Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dth,stingray,DTH,sel_stingray_dth,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash Metallic Full Length Dual Racing Stripes,Carbon Flash Metallic Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dub,stingray,DUB,sel_stingray_dub,clean_new_candidate,candidate_for_future_apply_plan,6,Sterling Silver Full Length Dual Racing Stripes,Sterling Silver Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_due,stingray,DUE,sel_stingray_due,clean_new_candidate,candidate_for_future_apply_plan,6,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_duk,stingray,DUK,sel_stingray_duk,clean_new_candidate,candidate_for_future_apply_plan,6,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_duw,stingray,DUW,sel_stingray_duw,clean_new_candidate,candidate_for_future_apply_plan,6,Edge Blue Full Length Dual Racing Stripes,Edge Blue Full Length Dual Racing Stripes,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dzu,stingray,DZU,sel_stingray_dzu,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash/Competition Yellow Stinger Stripe,Carbon Flash/Competition Yellow Stinger Stripe,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dzv,stingray,DZV,sel_stingray_dzv,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash/Midnight Silver Stinger Stripe,Carbon Flash/Midnight Silver Stinger Stripe,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_dzx,stingray,DZX,sel_stingray_dzx,clean_new_candidate,candidate_for_future_apply_plan,6,Carbon Flash/Edge Red Stinger Stripe,Carbon Flash/Edge Red Stinger Stripe,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_e60,stingray,E60,sel_stingray_e60,clean_new_candidate,candidate_for_future_apply_plan,6,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system","Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_efy,stingray,EFY,sel_stingray_efy,clean_new_candidate,candidate_for_future_apply_plan,6,"Exterior accents, body-color, side vents and front/rear grille accents","Exterior accents, body-color, side vents and front/rear grille accents",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_eyk,stingray,EYK,sel_stingray_eyk,clean_new_candidate,candidate_for_future_apply_plan,6,Chrome Exterior Badge Package,Chrome Exterior Badge Package,include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_fa5,stingray,FA5,sel_stingray_fa5,clean_new_candidate,candidate_for_future_apply_plan,6,"Trim, interior, carbon fiber cluster-surround and console/door switch plates","Trim, interior, carbon fiber cluster-surround and console/door switch plates",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_fe2,stingray,FE2,sel_stingray_fe2,clean_new_candidate,candidate_for_future_apply_plan,6,"Suspension, Magnetic Selective Ride Control","Suspension, Magnetic Selective Ride Control",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_fe4,stingray,FE4,sel_stingray_fe4,clean_new_candidate,candidate_for_future_apply_plan,6,"Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management","Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_fe9,stingray,FE9,sel_stingray_fe9,clean_new_candidate,candidate_for_future_apply_plan,6,"Emissions, Federal requirements, 50-state certified","Emissions, Federal requirements, 50-state certified",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_j6b,stingray,J6B,sel_stingray_j6b,clean_new_candidate,candidate_for_future_apply_plan,6,"Calipers, Blue-painted","Calipers, Blue-painted",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_j6e,stingray,J6E,sel_stingray_j6e,clean_new_candidate,candidate_for_future_apply_plan,6,"Calipers, Velocity Yellow-painted","Calipers, Velocity Yellow-painted",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_j6f,stingray,J6F,sel_stingray_j6f,clean_new_candidate,candidate_for_future_apply_plan,6,"Calipers, Bright Red-painted","Calipers, Bright Red-painted",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_j6n,stingray,J6N,sel_stingray_j6n,clean_new_candidate,candidate_for_future_apply_plan,6,"Calipers, Edge Red-painted","Calipers, Edge Red-painted",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_n26,stingray,N26,sel_stingray_n26,clean_new_candidate,candidate_for_future_apply_plan,6,"Steering wheel, sueded microfiber-wrapped","Steering wheel, sueded microfiber-wrapped",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_mechanical_nb8,stingray,NB8,sel_stingray_nb8,clean_new_candidate,candidate_for_future_apply_plan,6,"Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington","Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
